C:\Users\USER\anaconda3\envs\rl_3.9\python.exe C:\Users\USER\anaconda3\envs\rl_3.9\Project#2\pong_ppo.py 
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 6220, Total Reward: 17.00
Episode 6230, Total Reward: 11.00
Episode 6240, Total Reward: 12.00
Episode 6250, Total Reward: 11.00
Episode 6260, Total Reward: 7.00
Episode 6270, Total Reward: 19.00
Episode 6280, Total Reward: -7.00
Episode 6290, Total Reward: 13.00
Episode 6300, Total Reward: 18.00
Episode 6310, Total Reward: 8.00
Episode 6320, Total Reward: 16.00
Episode 6330, Total Reward: 12.00
Episode 6340, Total Reward: 18.00
Episode 6350, Total Reward: 12.00
Episode 6360, Total Reward: 15.00
Episode 6370, Total Reward: 17.00
Episode 6380, Total Reward: 17.00
Episode 6390, Total Reward: 15.00
Episode 6400, Total Reward: 19.00
Episode 6410, Total Reward: 15.00
Episode 6420, Total Reward: 9.00
Episode 6430, Total Reward: 18.00
Episode 6440, Total Reward: 10.00
Episode 6450, Total Reward: 13.00
Episode 6460, Total Reward: 19.00
Episode 6470, Total Reward: 15.00
Episode 6480, Total Reward: 17.00
Episode 6490, Total Reward: 17.00
Episode 6500, Total Reward: 7.00
Episode 6510, Total Reward: 16.00
Episode 6520, Total Reward: 16.00
Episode 6530, Total Reward: 14.00
Episode 6540, Total Reward: 12.00
Episode 6550, Total Reward: 16.00
Episode 6560, Total Reward: 14.00
Episode 6570, Total Reward: 12.00
Episode 6580, Total Reward: 19.00
Episode 6590, Total Reward: 12.00
Episode 6600, Total Reward: 13.00
Episode 6610, Total Reward: 13.00
Episode 6620, Total Reward: 16.00
Episode 6630, Total Reward: 17.00
Episode 6640, Total Reward: 15.00
Episode 6650, Total Reward: 13.00
Episode 6660, Total Reward: 11.00
Episode 6670, Total Reward: 18.00
Episode 6680, Total Reward: 17.00
Episode 6690, Total Reward: 17.00
Episode 6700, Total Reward: 19.00
Episode 6710, Total Reward: 12.00
Episode 6720, Total Reward: 19.00
Episode 6730, Total Reward: 15.00
Episode 6740, Total Reward: 17.00
Episode 6750, Total Reward: 7.00
Episode 6760, Total Reward: 13.00
Episode 6770, Total Reward: 14.00
Episode 6780, Total Reward: 19.00
Episode 6790, Total Reward: 2.00
Episode 6800, Total Reward: 18.00
Episode 6810, Total Reward: 16.00
Episode 6820, Total Reward: 1.00
Episode 6830, Total Reward: 16.00
Episode 6840, Total Reward: 17.00
Episode 6850, Total Reward: 15.00
Episode 6860, Total Reward: 13.00
Episode 6870, Total Reward: 16.00
Episode 6880, Total Reward: 18.00
Episode 6890, Total Reward: 16.00
Episode 6900, Total Reward: 20.00
Episode 6910, Total Reward: 16.00
Episode 6920, Total Reward: 16.00
Episode 6930, Total Reward: 10.00
Episode 6940, Total Reward: 17.00
Episode 6950, Total Reward: 13.00
Episode 6960, Total Reward: 18.00
Episode 6970, Total Reward: 14.00
Episode 6980, Total Reward: 19.00
Episode 6990, Total Reward: 16.00
Episode 7000, Total Reward: 10.00
Episode 7010, Total Reward: 17.00
Episode 7020, Total Reward: 15.00
Episode 7030, Total Reward: 11.00
Episode 7040, Total Reward: 20.00
Episode 7050, Total Reward: 14.00
Episode 7060, Total Reward: 18.00
Episode 7070, Total Reward: 13.00
Episode 7080, Total Reward: 18.00
Episode 7090, Total Reward: 18.00
Episode 7100, Total Reward: 15.00
Episode 7110, Total Reward: 11.00
Episode 7120, Total Reward: 14.00
Episode 7130, Total Reward: 17.00
Episode 7140, Total Reward: 17.00
Episode 7150, Total Reward: 19.00
Episode 7160, Total Reward: 15.00
Episode 7170, Total Reward: 17.00
Episode 7180, Total Reward: 14.00
Episode 7190, Total Reward: 18.00
Episode 7200, Total Reward: 15.00
Episode 7210, Total Reward: 17.00
Episode 7220, Total Reward: 9.00
Episode 7230, Total Reward: 17.00
Episode 7240, Total Reward: 16.00
Episode 7250, Total Reward: 13.00
Episode 7260, Total Reward: 16.00
Episode 7270, Total Reward: 13.00
Episode 7280, Total Reward: 19.00
Episode 7290, Total Reward: 13.00
Episode 7300, Total Reward: 16.00
Episode 7310, Total Reward: 16.00
Episode 7320, Total Reward: 14.00
Episode 7330, Total Reward: 1.00
Episode 7340, Total Reward: 12.00
Episode 7350, Total Reward: 20.00
Episode 7360, Total Reward: 12.00
Episode 7370, Total Reward: 3.00
Episode 7380, Total Reward: 19.00
Episode 7390, Total Reward: 18.00
Episode 7400, Total Reward: 19.00
Episode 7410, Total Reward: 5.00
Episode 7420, Total Reward: 14.00
Episode 7430, Total Reward: 17.00
Episode 7440, Total Reward: 19.00
Episode 7450, Total Reward: 20.00
Episode 7460, Total Reward: 14.00
Episode 7470, Total Reward: 20.00
Episode 7480, Total Reward: 13.00
Episode 7490, Total Reward: 19.00
Episode 7500, Total Reward: 17.00
Episode 7510, Total Reward: -13.00
